Longitude,Type of Station,City,Address1,Zip,Address2,Version,State,City and State of the station,State FIPS,Unique Station Code,Latitude,latitude,longitude
-75.623299,RAIL,Exton,Howard Rd and Crest Ave.,19341,near US 30 and Pottstown Pike,07,PA,"Exton, Pennsylvania",42,EXT,40.019951,40.019951,-75.623299
-96.784615,RAIL,Fargo,420 4th Street North,58102,,07,ND,"Fargo, North Dakota",38,FAR,46.881077,46.881077,-96.784615
-78.885063,RAIL,Fayetteville,472 Hay Street,28301-5563,,07,NC,"Fayetteville, North Carolina",37,FAY,35.054905,35.054905,-78.885063
-77.456932,RAIL,Fredericksburg,200 Lafayette Blvd.,22401-6067,,07,VA,"Fredericksburg, Virginia",51,FBG,38.298557,38.298557,-77.456932
-105.065918,BUS,Fort Collins,250 North Mason St.,80524-4407,Greyhound Station,07,CO,"Fort Collins, Colorado",08,FCC,40.583782,40.583782,-105.065918
-88.450188,BUS,Fond du Lac,1305 South Main St.,54935-4705,CITGO Station,07,WI,"Fond du Lac, Wisconsin",55,FDL,43.752518,43.752518,-88.450188
-79.340179,BUS,Fredonia,1 State University of New York,14063,William Center Student Union,07,NY,"Fredonia, New York",36,FDN,42.445126,42.445126,-79.340179
-73.58046,RAIL,Fort Edward,70 East St.,12828,East and Rogers Sts.,07,NY,"Fort Edward-Glens Falls, New York",36,FED,43.269516,43.269516,-73.58046
-111.657694,BUS,Flagstaff,399 S. Malpais Ln.,86001-6218,Greyhound Bus Terminal,07,AZ,"Flagstaff (Greyhound), Arizona",04,FGG,35.194572,35.1945722484,-111.657694054
-97.764313,BUS,Fort Hood,Hood Road & Old Ironsides Ave.,76544,Copeland Soldier's Service Center--Bldg. 18010,07,TX,"Fort Hood, Texas",48,FHD,31.139959,31.139959,-97.764313
-73.262047,RAIL,Fair Haven,Depot and Water Sts.,05743,,07,VT,"Fair Haven, Vermont",50,FHV,43.590576,43.590576,-73.262047
-118.916611,BUS,Fillmore,718 West Ventura St.,93015-1835,International House of Pancakes,07,CA,"Fillmore, California",06,FIL,34.39613,34.39613,-118.916611
-111.650665,RAIL,Flagstaff,1 East Route 66,86001-5530,,07,AZ,"Flagstaff, Arizona",04,FLG,35.198013,35.198013,-111.650665
